Format Version,1.23,Take Name,experiment_005,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-05-08 01.49.57.954 ,Capture Start Frame,3442474,Total Frames in Take,11569,Total Exported Frames,11569,Rotation Type,XZY,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Tavle,Tavle,Tavle,Tavle,Tavle,Tavle,Telefon,Telefon,Telefon,Telefon,Telefon,Telefon
,ID,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Z,Y,X,Y,Z,X,Z,Y,X,Y,Z
0,0.000000,0.624400,0.206218,0.037527,2.763600,1.977705,-2.855475,-1.831380,0.708523,89.480934,2.572509,1.747136,-0.643062
1,0.004000,0.623188,0.209400,0.045543,2.763597,1.977711,-2.855477,-0.384918,1.169035,91.348076,2.572227,1.746888,-0.640858
2,0.008000,0.608796,0.214628,0.039264,2.763600,1.977715,-2.855489,-0.192074,1.159579,91.546730,2.572165,1.747042,-0.640474
3,0.013000,0.624336,0.224983,0.043338,2.763601,1.977728,-2.855491,-0.333916,1.111197,91.426369,2.572251,1.747111,-0.640648
4,0.017000,0.643554,0.214698,0.047008,2.763601,1.977732,-2.855483,-0.365346,1.118158,91.387947,2.572296,1.747102,-0.640703
5,0.021000,0.622565,0.215634,0.046085,2.763601,1.977724,-2.855493,-0.411961,1.100820,91.354195,2.572306,1.747107,-0.640674
6,0.025000,0.599093,0.206687,0.043504,2.763600,1.977724,-2.855500,-0.402525,1.134352,91.348221,2.572295,1.747024,-0.640631
7,0.029000,0.618899,0.217875,0.043344,2.763600,1.977723,-2.855494,-0.329061,1.180631,91.364014,2.572274,1.746948,-0.640544
8,0.033000,0.627153,0.226280,0.043694,2.763601,1.977715,-2.855488,-0.325288,1.179227,91.332054,2.572287,1.746932,-0.640564
9,0.038000,0.625497,0.223645,0.045478,2.763603,1.977720,-2.855481,-0.359513,1.201748,91.252029,2.572340,1.746910,-0.640644
10,0.042000,0.606230,0.212834,0.045863,2.763593,1.977696,-2.855477,-0.356982,1.217157,91.236542,2.572344,1.746911,-0.640640
11,0.046000,0.647512,0.204203,0.045088,2.763594,1.977702,-2.855479,-0.440081,1.216772,91.255669,2.572346,1.746914,-0.640573
12,0.050000,0.610957,0.205563,0.033129,2.763593,1.977694,-2.855485,-0.491757,1.177603,91.265907,2.572376,1.747008,-0.640537
