usShift,rmse,shift,framset,dataset

-30,0.8970433596843735,-30,experiment_004
6976.0,0.6895484600643813,872,0,experiment_001
3904.0,0.7020604575604321,488,0,experiment_002
4224.0,0.7997743857610292,528,4,experiment_003
7104.0,0.7528027214788997,888,0,experiment_005
7232.0,0.7461668567324328,904,5,experiment_006
6912.0,0.6849153186377206,864,4,experiment_001
3840.0,0.6982817850704243,480,1,experiment_002
4032.0,0.891115743362058,504,4,experiment_003
7104.0,0.7538265622528808,888,0,experiment_005
7232.0,0.7461492959704271,904,5,experiment_006
3840.0,0.6982817850704243,480,1,experiment_002
4032.0,0.615632375303571,504,1,experiment_002
3840.0,0.6982817850704243,480,1,experiment_002
